first_name,last_name,number,team,position
Wojciech,Szczesny,1,Arsenal,Goalkeeper
Mathieu,Debuchy,2,Arsenal,Defender
Kieran,Gibbs,3,Arsenal,Defender
Laurent,Koscielny,6,Arsenal,Defender
Per,Mertesacker,4,Arsenal,Defender
Mikel,Arteta,8,Arsenal,Midfielder
Santi,Cazorla,19,Arsenal,Midfielder
Alex,Oxlade-Chamberlain,15,Arsenal,Midfielder
Aaron,Ramsey,16,Arsenal,Midfielder
Jack,Wilshere,10,Arsenal,Midfielder
Mesut,Ozil,11,Arsenal,Midfielder
Alexis,Sanchez,17,Arsenal,Forward
Lukas,Podolski,9,Arsenal,Forward
Theo,Walcott,14,Arsenal,Forward
Olivier,Giroud,12,Arsenal,Forward
Salvatore,Sirigu,30,Paris St. German,Goalkeeper
Thiago,Silva,2,Paris St. German,Defender
David,Luiz,32,Paris St. German,Defender
N/A,Maxwell,17,Paris St. German,Defender
Gregory,Van Der Wiel,23,Paris St. German,Defender
Thiago,Motta,8,Paris St. German,Midfielder
Blaise,Matuidi,14,Paris St. German,Midfielder
Ezequiel,Lavezzi,22,Paris St. German,Forward
Edison,Cavani,9,Paris St. German,Forward
Yohan,Cabaye,4,Paris St. German,Midfielder
Zlatan,Ibrahimovic,10,Paris St. German,Forward
